Sample_ID	Pop_ID	Loc_ID	K1	K2	K3
CT1	2	CM_1	0.007	0.005	0.988
CT2	2	CM_1	0.008	0.007	0.985
CT3	2	CM_1	0.008	0.005	0.987
CT4	2	CM_1	0.008	0.006	0.986
CT5	2	CM_1	0.007	0.005	0.987
CT6	2	CM_1	0.011	0.007	0.981
CT8	2	CM_2	0.007	0.005	0.988
CT9	2	CM_2	0.007	0.005	0.988
CT10	2	CM_2	0.009	0.005	0.986
P1	2	CM_2	0.242	0.036	0.721
P2	2	CM_2	0.007	0.005	0.988
P3	2	CM_2	0.009	0.007	0.985
P4	2	CM_2	0.007	0.005	0.988
P5	2	CM_2	0.007	0.005	0.988
P6	2	CM_2	0.007	0.005	0.988
P7	2	CM_2	0.007	0.005	0.988
P8	2	CM_2	0.683	0.231	0.086
P9	2	CM_2	0.017	0.005	0.978
SM1	2	CM_2	0.007	0.005	0.988
SM2	2	CM_2	0.009	0.006	0.985
SM3	2	CM_2	0.007	0.005	0.988
SM4	2	CM_2	0.007	0.005	0.987
SM5	2	CM_2	0.007	0.005	0.988
OIR1	3	OIR_1	0.121	0.587	0.292
OIR2	3	OIR_1	0.493	0.023	0.484
OIR3	3	OIR_1	0.486	0.023	0.491
OIR4	3	OIR_1	0.626	0.308	0.066
OIR8	3	OIR_1	0.861	0.01	0.129
OIR9	3	OIR_1	0.96	0.005	0.035
OIR15	3	OIR_1	0.185	0.434	0.38
OIR16	3	OIR_1	0.985	0.007	0.008
OIR17	3	OIR_1	0.983	0.008	0.009
OIR18	3	OIR_1	0.969	0.008	0.023
OIR19	3	OIR_1	0.968	0.021	0.011
OIR23	3	OIR_1	0.985	0.007	0.007
OIR24	3	OIR_1	0.985	0.007	0.007
OIR25	3	OIR_1	0.093	0.833	0.074
OIR26	3	OIR_1	0.984	0.008	0.008
OIR28	3	OIR_1	0.075	0.265	0.659
OIR29	3	OIR_1	0.081	0.616	0.303
OIR30	3	OIR_1	0.048	0.066	0.886
OIR31	3	OIR_1	0.985	0.008	0.007
OIR32	3	OIR_1	0.96	0.009	0.032
OIR33	3	OIR_1	0.986	0.008	0.006
OIR34	3	OIR_1	0.951	0.019	0.03
OIR35	3	OIR_1	0.985	0.008	0.007
OIR36	3	OIR_2	0.985	0.008	0.007
OIR38	3	OIR_2	0.864	0.055	0.082
OIR40	3	OIR_2	0.966	0.025	0.01
OIR41	3	OIR_2	0.987	0.007	0.006
OIR42	3	OIR_2	0.945	0.007	0.048
OIR43	3	OIR_2	0.945	0.017	0.039
OIR44	3	OIR_2	0.96	0.008	0.031
OIR45	3	OIR_2	0.958	0.009	0.033
OIR46	3	OIR_2	0.986	0.008	0.006
OIR47	3	OIR_2	0.986	0.009	0.006
OIR50	3	OIR_2	0.986	0.008	0.006
OIR51	3	OIR_2	0.914	0.009	0.078
OIR53	3	OIR_2	0.216	0.75	0.034
OIR56	3	OIR_2	0.015	0.741	0.244
OIR57	3	OIR_2	0.011	0.623	0.366
OIR58	3	OIR_2	0.143	0.241	0.616
OIR61	3	OIR_2	0.979	0.01	0.012
OIR62	3	OIR_2	0.863	0.005	0.132
OIR67	3	OIR_2	0.987	0.005	0.008
OIR68	3	OIR_2	0.508	0.444	0.047
OIR69	3	OIR_2	0.987	0.008	0.006
OIR70	3	OIR_2	0.987	0.008	0.006
OIR72	3	OIR_2	0.558	0.428	0.015
OIR73	3	OIR_2	0.271	0.497	0.232
OIR74	3	OIR_2	0.969	0.007	0.024
OSE1	4	OSE	0.025	0.821	0.155
OSE2	4	OSE	0.008	0.987	0.005
OSE5	4	OSE	0.039	0.808	0.153
OSE6	4	OSE	0.008	0.987	0.005
OSE7	4	OSE	0.015	0.979	0.006
OSE10	4	OSE	0.007	0.989	0.005
OSE11	4	OSE	0.008	0.987	0.005
OSE12	4	OSE	0.113	0.878	0.009
OSE15	4	OSE	0.018	0.624	0.358
OSE16	4	OSE	0.01	0.985	0.005
OSE17	4	OSE	0.006	0.989	0.005
OSE18	4	OSE	0.01	0.984	0.006
OSE19	4	OSE	0.006	0.989	0.005
OSE20	4	OSE	0.006	0.989	0.005
OSE22	4	OSE	0.009	0.985	0.005
OSE23	4	OSE	0.011	0.983	0.005
OSE24	4	OSE	0.156	0.836	0.008
OSE25	4	OSE	0.198	0.795	0.007
OSE26	4	OSE	0.006	0.989	0.005
OSE27	4	OSE	0.007	0.989	0.005
OSE29	4	OSE	0.598	0.394	0.008
OSE31	4	OSE	0.006	0.988	0.005
OSE32	4	OSE	0.198	0.797	0.005
OSE34	4	OSE	0.602	0.39	0.007
OSE36	4	OSE	0.006	0.989	0.005
OSE37	4	OSE	0.006	0.989	0.005
