Sample_ID	Pop_ID	K1	K2
S17_09V	2R	0.972	0.028
S17_10V	2R	0.989	0.011
S17_11V	2R	0.961	0.039
S17_12V	2R	0.989	0.011
S17_15V	2R	0.993	0.007
S17_17V	2R	0.965	0.035
S17_19V	2R	0.985	0.015
S17_21V	2R	0.987	0.013
S17_22V	2R	0.993	0.007
S17_24V	2R	0.971	0.029
S17_26V	2R	0.995	0.005
S17_27V	2R	0.996	0.004
S17_28V	2R	0.997	0.003
S17_30V	2R	0.996	0.004
S17_31V	2R	0.99	0.01
S17_32V	2R	0.997	0.003
S17_33V	2R	0.994	0.006
S17_34V	2R	0.997	0.003
S17_35V	2R	0.992	0.008
S17_36V	2R	0.996	0.004
S17_37V	2R	0.994	0.006
S17_38V	2R	0.989	0.011
S17_39V	2R	0.995	0.005
S17_40V	2R	0.996	0.004
S18_S01	3O	0.991	0.009
S18_S02	3O	0.996	0.004
S18_S03	3O	0.994	0.006
S18_S04	3O	0.996	0.004
S18_S05	3O	0.996	0.004
S18_S06	3O	0.984	0.016
S18_S07	3O	0.996	0.004
S18_S08	3O	0.995	0.005
S18_S09	3O	0.955	0.045
S18_S10	3O	0.997	0.003
S18_S11	3O	0.995	0.005
S18_S12	3O	0.994	0.006
S18_S13	3O	0.994	0.006
S18_S14	3O	0.831	0.169
S18_S15	3O	0.862	0.138
S18_S16	3O	0.88	0.12
S18_S17	3O	0.399	0.601
S18_S18	3O	0.997	0.003
S18_S19	3O	0.991	0.009
S18_S20	3O	0.991	0.009
S18_21S	3O	0.996	0.004
S18_22S	3O	0.993	0.007
S18_23S	3O	0.928	0.072
S18_24S	3O	0.563	0.437
S18_25S	3O	0.99	0.01
S18_26S	3O	0.996	0.004
S18_27S	3O	0.775	0.225
S18_28S	3O	0.995	0.005
S18_29S	3O	0.995	0.005
S18_30S	3O	0.996	0.004
S18_31S	3O	0.995	0.005
S18_32S	3O	0.992	0.008
S18_33S	3O	0.994	0.006
S18_34S	3O	0.988	0.012
S18_35S	3O	0.993	0.007
S18_36S	3O	0.751	0.249
S18_37S	3O	0.99	0.01
S18_38S	3O	0.995	0.005
S18_39S	3O	0.752	0.248
S18_40S	3O	0.996	0.004
S18_01V	3R	0.995	0.005
S18_02V	3R	0.974	0.026
S18_03V	3R	0.996	0.004
S18_04V	3R	0.996	0.004
S18_05V	3R	0.996	0.004
S18_06V	3R	0.976	0.024
S18_07V	3R	0.995	0.005
S18_08V	3R	0.987	0.013
S18_09V	3R	0.997	0.003
S18_10V	3R	0.985	0.015
S18_11V	3R	0.996	0.004
S18_12V	3R	0.975	0.025
S18_13V	3R	0.986	0.014
S18_15V	3R	0.997	0.003
S18_16V	3R	0.995	0.005
S18_17V	3R	0.996	0.004
S18_18V	3R	0.988	0.012
S18_19V	3R	0.996	0.004
S18_20V	3R	0.992	0.008
S18_21V	3R	0.996	0.004
S18_22V	3R	0.99	0.01
S18_23V	3R	0.996	0.004
S18_24V	3R	0.996	0.004
S18_25V	3R	0.993	0.007
S18_26V	3R	0.996	0.004
S18_27V	3R	0.964	0.036
S18_28V	3R	0.996	0.004
S18_29V	3R	0.978	0.022
S18_30V	3R	0.996	0.004
S18_31V	3R	0.424	0.576
S18_32V	3R	0.995	0.005
S18_33V	3R	0.974	0.026
S18_34V	3R	0.988	0.012
S18_35V	3R	0.988	0.012
S18_36V	3R	0.905	0.095
S18_37V	3R	0.929	0.071
S18_38V	3R	0.953	0.047
S18_39V	3R	0.994	0.006
S18_40V	3R	0.995	0.005
AZ02_S01	4O	0.996	0.004
AZ02_S02	4O	0.995	0.005
AZ02_S03	4O	0.993	0.007
AZ02_S04	4O	0.986	0.014
AZ02_S05	4O	0.993	0.007
AZ02_S06	4O	0.546	0.454
AZ02_S07	4O	0.989	0.011
AZ02_S08	4O	0.972	0.028
AZ02_S09	4O	0.991	0.009
AZ02_S10	4O	0.757	0.243
AZ02_S11	4O	0.991	0.009
AZ02_S12	4O	0.909	0.091
AZ02_S13	4O	0.901	0.099
AZ02_S14	4O	0.983	0.017
AZ02_S15	4O	0.996	0.004
AZ02_S16	4O	0.991	0.009
AZ02_S17	4O	0.994	0.006
AZ02_S18	4O	0.091	0.909
AZ02_S19	4O	0.805	0.195
AZ02_S21	4O	0.96	0.04
AZ02_S22	4O	0.991	0.009
AZ02_S23	4O	0.992	0.008
AZ02_S24	4O	0.995	0.005
AZ02_S25	4O	0.989	0.011
AZ02_S26	4O	0.995	0.005
AZ02_S27	4O	0.997	0.003
AZ02_S28	4O	0.99	0.01
AZ02_S29	4O	0.997	0.003
AZ02_S30	4O	0.997	0.003
AZ02_S31	4O	0.996	0.004
AZ02_S32	4O	0.995	0.005
AZ02_S33	4O	0.994	0.006
AZ02_S34	4O	0.955	0.045
AZ02_S35	4O	0.997	0.003
AZ02_S36	4O	0.057	0.943
AZ02_S37	4O	0.983	0.017
AZ02_S38	4O	0.979	0.021
AZ02_S39	4O	0.997	0.003
AZ02_S40	4R	0.996	0.004
AZ02_01V	4R	0.993	0.007
AZ02_02V	4R	0.997	0.003
AZ02_03V	4R	0.94	0.06
AZ02_04V	4R	0.995	0.005
AZ02_05V	4R	0.994	0.006
AZ02_06V	4R	0.957	0.043
AZ02_07V	4R	0.992	0.008
AZ02_08V	4R	0.993	0.007
AZ02_09V	4R	0.995	0.005
AZ02_10V	4R	0.996	0.004
AZ02_11V	4R	0.995	0.005
AZ02_12V	4R	0.994	0.006
AZ02_13V	4R	0.592	0.408
AZ02_14V	4R	0.954	0.046
AZ02_15V	4R	0.88	0.12
AZ02_16V	4R	0.67	0.33
AZ02_17V	4R	0.994	0.006
AZ02_18V	4R	0.995	0.005
AZ02_19V	4R	0.991	0.009
AZ02_20V	4R	0.94	0.06
AZ02_21V	4R	0.994	0.006
AZ02_22V	4R	0.97	0.03
AZ02_23V	4R	0.985	0.015
AZ02_24V	4R	0.996	0.004
AZ02_25V	4R	0.997	0.003
AZ02_26V	4R	0.996	0.004
AZ02_27V	4R	0.996	0.004
AZ02_28V	4R	0.66	0.34
AZ02_29V	4R	0.993	0.007
AZ02_30V	4R	0.995	0.005
AZ02_31V	4R	0.996	0.004
AZ02_33V	4R	0.997	0.003
AZ02_34V	4R	0.993	0.007
AZ02_35V	4R	0.992	0.008
AZ02_36V	4R	0.973	0.027
AZ02_37V	4R	0.994	0.006
AZ02_38V	4R	0.987	0.013
AZ02_39V	4R	0.994	0.006
AZ02_40V	4R	0.984	0.016
AZ07_S01	5O	0.996	0.004
AZ07_S02	5O	0.995	0.005
AZ07_S03	5O	0.997	0.003
AZ07_S04	5O	0.991	0.009
AZ07_S05	5O	0.995	0.005
AZ07_S06	5O	0.997	0.003
AZ07_S07	5O	0.945	0.055
AZ07_S08	5O	0.981	0.019
AZ07_S10	5O	0.997	0.003
AZ07_S11	5O	0.994	0.006
AZ07_S12	5O	0.996	0.004
AZ07_S13	5O	0.993	0.007
AZ07_S14	5O	0.826	0.174
AZ07_S15	5O	0.957	0.043
AZ07_S16	5O	0.995	0.005
AZ07_S17	5O	0.995	0.005
AZ07_S18	5O	0.995	0.005
AZ07_S19	5O	0.992	0.008
AZ07_S20	5O	0.995	0.005
AZ07_S21	5O	0.994	0.006
AZ07_S22	5O	0.956	0.044
AZ07_S23	5O	0.996	0.004
AZ07_S24	5O	0.992	0.008
AZ07_S25	5O	0.967	0.033
AZ07_S26	5O	0.994	0.006
AZ07_S27	5O	0.993	0.007
AZ07_S28	5O	0.901	0.099
AZ07_S29	5O	0.738	0.262
AZ07_S30	5O	0.967	0.033
AZ07_S31	5O	0.996	0.004
AZ07_S32	5O	0.996	0.004
AZ07_S33	5O	0.992	0.008
AZ07_S34	5O	0.987	0.013
AZ07_S35	5O	0.989	0.011
AZ07_S36	5O	0.987	0.013
AZ07_S37	5O	0.992	0.008
AZ07_S38	5O	0.975	0.025
AZ07_S39	5O	0.982	0.018
AZ07_S40	5O	0.844	0.156
AZ07_01V	5R	0.994	0.006
AZ07_02V	5R	0.658	0.342
AZ07_03V	5R	0.99	0.01
AZ07_04V	5R	0.987	0.013
AZ07_05V	5R	0.996	0.004
AZ07_06V	5R	0.978	0.022
AZ07_07V	5R	0.749	0.251
AZ07_08V	5R	0.995	0.005
AZ07_09V	5R	0.993	0.007
AZ07_10V	5R	0.994	0.006
AZ07_11V	5R	0.995	0.005
AZ07_12V	5R	0.988	0.012
GW01_S01	6O	0.982	0.018
GW01_S02	6O	0.985	0.015
GW01_S03	6O	0.992	0.008
GW01_S05	6O	0.994	0.006
GW01_S06	6O	0.995	0.005
GW01_S07	6O	0.99	0.01
GW01_S08	6O	0.996	0.004
GW01_S09	6O	0.991	0.009
GW01_S10	6O	0.996	0.004
GW01_S11	6O	0.993	0.007
GW01_S12	6O	0.992	0.008
GW01_S13	6O	0.994	0.006
GW01_S14	6O	0.996	0.004
GW01_S15	6O	0.975	0.025
GW01_S16	6O	0.996	0.004
GW01_S17	6O	0.996	0.004
GW01_S18	6O	0.982	0.018
GW01_S19	6O	0.996	0.004
GW01_S20	6O	0.994	0.006
GW01_S21	6O	0.99	0.01
GW01_S22	6O	0.995	0.005
GW01_S23	6O	0.993	0.007
GW01_S24	6O	0.992	0.008
GW01_S25	6O	0.995	0.005
GW01_S26	6O	0.995	0.005
GW01_S27	6O	0.994	0.006
GW01_S28	6O	0.996	0.004
GW01_S29	6O	0.99	0.01
GW01_S30	6O	0.997	0.003
GW01_S31	6O	0.994	0.006
GW01_S32	6O	0.993	0.007
GW01_S33	6O	0.979	0.021
GW01_S34	6O	0.985	0.015
GW01_S35	6O	0.784	0.216
GW01_S36	6O	0.996	0.004
GW01_S37	6O	0.988	0.012
GW01_S38	6O	0.995	0.005
GW01_S39	6O	0.993	0.007
GW01_S40	6O	0.996	0.004
GW01_01V	6R	0.997	0.003
GW01_02V	6R	0.997	0.003
GW01_03V	6R	0.993	0.007
GW01_04V	6R	0.98	0.02
GW01_05V	6R	0.989	0.011
GW01_06V	6R	0.992	0.008
GW01_07V	6R	0.649	0.351
GW01_08V	6R	0.979	0.021
GW01_09V	6R	0.993	0.007
GW01_10V	6R	0.995	0.005
GW01_11V	6R	0.991	0.009
GW01_12V	6R	0.992	0.008
GW01_13V	6R	0.911	0.089
GW01_14V	6R	0.995	0.005
GW01_15V	6R	0.996	0.004
GW01_16V	6R	0.984	0.016
GW01_17V	6R	0.992	0.008
GW01_18V	6R	0.992	0.008
GW01_19V	6R	0.955	0.045
GW01_20V	6R	0.995	0.005
GW01_21V	6R	0.97	0.03
GW01_22V	6R	0.996	0.004
GW01_24V	6R	0.978	0.022
GW01_25V	6R	0.992	0.008
GW01_27V	6R	0.991	0.009
GW01_28V	6R	0.982	0.018
GW01_29V	6R	0.996	0.004
GW01_30V	6R	0.995	0.005
GW01_31V	6R	0.996	0.004
GW01_33V	6R	0.981	0.019
GW01_34V	6R	0.996	0.004
GW01_35V	6R	0.982	0.018
GW01_36V	6R	0.996	0.004
GW01_37V	6R	0.99	0.01
GW01_38V	6R	0.994	0.006
GW01_39V	6R	0.981	0.019
GW01_40V	6R	0.996	0.004
