Sample_ID	Pop_ID	Loc_ID	K1	K2	K3	K4	K5
S218	6	5	0.179	0.226	0.211	0.195	0.19
S219	1	1	0.204	0.117	0.278	0.247	0.154
S220	6	5	0.215	0.209	0.219	0.14	0.217
S221	10	1	0.15	0.142	0.226	0.175	0.308
S222	15	3	0.195	0.312	0.149	0.201	0.143
S223	9	8	0.295	0.173	0.161	0.137	0.235
S224	2	3	0.192	0.292	0.157	0.176	0.183
S225	13	3	0.154	0.247	0.191	0.23	0.178
S226	9	5	0.209	0.173	0.226	0.156	0.236
S227	2	7	0.204	0.162	0.124	0.205	0.305
S228	7	7	0.183	0.173	0.22	0.195	0.229
S229	8	1	0.203	0.22	0.248	0.144	0.187
S230	13	2	0.27	0.15	0.214	0.214	0.152
S231	8	5	0.153	0.267	0.191	0.193	0.196
S232	14	8	0.182	0.18	0.204	0.257	0.177
S233	3	7	0.14	0.187	0.202	0.175	0.295
S234	5	5	0.178	0.176	0.247	0.196	0.204
S235	13	2	0.261	0.177	0.191	0.151	0.22
S236	14	3	0.223	0.175	0.283	0.165	0.153
S237	6	8	0.127	0.123	0.277	0.263	0.211
S238	4	8	0.176	0.332	0.138	0.139	0.216
S239	12	7	0.233	0.173	0.212	0.129	0.253
S240	15	8	0.232	0.168	0.206	0.215	0.178
S241	8	4	0.166	0.185	0.147	0.284	0.217
S242	1	8	0.231	0.231	0.161	0.207	0.171
S243	1	5	0.24	0.218	0.146	0.206	0.189
S244	13	2	0.233	0.216	0.161	0.17	0.218
S245	11	6	0.231	0.154	0.195	0.167	0.253
S246	15	8	0.177	0.203	0.239	0.19	0.191
S247	5	2	0.183	0.23	0.199	0.193	0.195
S248	9	3	0.298	0.171	0.18	0.193	0.158
S249	1	6	0.227	0.215	0.197	0.216	0.146
S250	3	6	0.151	0.152	0.265	0.251	0.181
S251	6	5	0.171	0.254	0.162	0.218	0.195
S252	9	3	0.315	0.184	0.18	0.18	0.141
S253	5	7	0.191	0.238	0.222	0.133	0.218
S254	4	5	0.252	0.157	0.18	0.185	0.226
S255	14	2	0.235	0.193	0.191	0.219	0.161
S256	2	6	0.166	0.211	0.227	0.202	0.194
S257	4	3	0.155	0.299	0.175	0.17	0.2
S258	6	6	0.243	0.187	0.224	0.141	0.205
S259	2	8	0.16	0.172	0.262	0.229	0.177
S260	9	7	0.178	0.15	0.202	0.293	0.178
S261	9	2	0.112	0.209	0.18	0.185	0.313
S262	15	6	0.164	0.241	0.213	0.202	0.181
S263	11	7	0.194	0.182	0.283	0.149	0.192
S264	2	1	0.242	0.192	0.133	0.219	0.213
S265	13	2	0.18	0.184	0.184	0.173	0.278
S266	12	8	0.203	0.202	0.18	0.183	0.232
S267	8	1	0.203	0.186	0.199	0.219	0.192
S268	14	6	0.194	0.278	0.129	0.243	0.155
S269	1	8	0.15	0.152	0.235	0.263	0.2
S270	3	6	0.25	0.217	0.15	0.14	0.244
S271	7	7	0.262	0.198	0.204	0.141	0.196
S272	9	4	0.147	0.242	0.244	0.217	0.15
S273	12	5	0.169	0.229	0.228	0.225	0.149
S274	8	2	0.222	0.144	0.153	0.181	0.3
S275	10	4	0.201	0.182	0.146	0.195	0.275
S276	15	4	0.15	0.22	0.226	0.228	0.176
S277	5	7	0.165	0.135	0.164	0.183	0.353
S278	7	2	0.169	0.128	0.27	0.255	0.178
S279	10	1	0.159	0.208	0.27	0.194	0.168
S280	11	6	0.192	0.167	0.226	0.132	0.283
S281	7	5	0.268	0.123	0.212	0.253	0.145
S282	9	5	0.204	0.258	0.224	0.151	0.163
S283	9	2	0.158	0.207	0.156	0.282	0.197
S284	7	4	0.161	0.159	0.249	0.27	0.161
S285	9	6	0.173	0.212	0.157	0.247	0.211
S286	1	5	0.183	0.172	0.207	0.181	0.256
S287	9	1	0.163	0.281	0.165	0.188	0.202
S288	1	2	0.207	0.194	0.232	0.155	0.213
S289	11	3	0.245	0.163	0.236	0.201	0.155
S290	6	8	0.206	0.18	0.148	0.29	0.177
S291	8	6	0.215	0.247	0.155	0.242	0.142
S292	8	1	0.197	0.245	0.207	0.159	0.192
S293	4	6	0.214	0.319	0.12	0.188	0.16
S294	5	3	0.196	0.167	0.15	0.333	0.155
S295	3	8	0.177	0.228	0.217	0.173	0.205
S296	7	4	0.212	0.137	0.251	0.221	0.178
S297	3	7	0.245	0.187	0.161	0.185	0.221
S298	2	2	0.269	0.239	0.153	0.187	0.151
S299	5	7	0.216	0.17	0.184	0.241	0.188
S300	6	6	0.174	0.166	0.192	0.241	0.227
S301	14	2	0.125	0.217	0.134	0.224	0.3
S302	13	5	0.114	0.206	0.163	0.264	0.253
S303	15	4	0.148	0.21	0.209	0.147	0.286
S304	10	8	0.144	0.237	0.186	0.243	0.19
S305	12	7	0.205	0.189	0.127	0.202	0.276
S306	2	3	0.178	0.221	0.157	0.215	0.229
S307	3	1	0.195	0.226	0.147	0.174	0.258
S308	1	8	0.279	0.213	0.205	0.181	0.121
S309	5	3	0.153	0.165	0.192	0.234	0.256
S310	10	1	0.245	0.121	0.213	0.215	0.206
S311	2	2	0.165	0.201	0.143	0.224	0.268
S312	7	1	0.22	0.174	0.181	0.208	0.217
S313	8	6	0.179	0.267	0.171	0.206	0.177
S314	5	3	0.216	0.192	0.233	0.174	0.185
S315	8	1	0.139	0.113	0.198	0.264	0.286
S316	12	1	0.153	0.178	0.211	0.254	0.204
S317	6	8	0.206	0.165	0.285	0.166	0.178
S318	4	4	0.136	0.239	0.185	0.258	0.183
S319	12	8	0.208	0.28	0.207	0.168	0.137
S320	9	7	0.179	0.173	0.147	0.279	0.223
S321	3	8	0.216	0.135	0.198	0.199	0.253
S322	7	1	0.183	0.217	0.185	0.207	0.208
S323	7	7	0.282	0.216	0.188	0.155	0.159
S324	11	1	0.188	0.207	0.183	0.245	0.176
S325	4	5	0.154	0.15	0.225	0.225	0.246
S326	11	7	0.245	0.133	0.208	0.191	0.223
S327	11	7	0.208	0.21	0.188	0.18	0.215
S328	10	3	0.218	0.174	0.202	0.247	0.159
S329	6	3	0.23	0.156	0.236	0.221	0.157
S330	12	7	0.188	0.185	0.286	0.17	0.171
S331	3	5	0.263	0.197	0.18	0.198	0.161
S332	6	6	0.321	0.134	0.211	0.148	0.186
S333	3	8	0.165	0.188	0.241	0.18	0.227
S334	3	7	0.173	0.14	0.279	0.214	0.193
S335	11	5	0.234	0.189	0.192	0.168	0.217
S336	9	2	0.173	0.394	0.135	0.14	0.158
S337	2	4	0.135	0.169	0.23	0.234	0.233
S338	13	6	0.19	0.21	0.17	0.157	0.273
S339	11	8	0.216	0.143	0.201	0.187	0.253
S340	5	5	0.144	0.176	0.283	0.184	0.214
S341	15	1	0.156	0.189	0.212	0.265	0.178
S342	7	2	0.204	0.154	0.232	0.213	0.197
S343	2	3	0.206	0.153	0.223	0.19	0.229
S344	1	3	0.162	0.107	0.244	0.265	0.222
S345	10	5	0.212	0.158	0.229	0.171	0.23
S346	5	1	0.154	0.202	0.209	0.284	0.151
S347	4	8	0.167	0.303	0.179	0.196	0.155
S348	11	7	0.154	0.199	0.266	0.194	0.188
S349	5	4	0.137	0.153	0.268	0.246	0.196
S350	1	4	0.18	0.192	0.192	0.214	0.222
S351	11	1	0.145	0.246	0.221	0.152	0.235
S352	3	6	0.178	0.16	0.177	0.203	0.281
S353	9	5	0.238	0.207	0.17	0.203	0.182
S354	6	5	0.247	0.175	0.14	0.166	0.273
S355	2	8	0.256	0.139	0.167	0.23	0.208
S356	10	6	0.189	0.19	0.235	0.171	0.215
S357	14	2	0.228	0.163	0.203	0.224	0.182
S358	10	1	0.158	0.124	0.185	0.296	0.237
S359	11	6	0.218	0.212	0.237	0.16	0.173
S360	15	4	0.137	0.176	0.303	0.195	0.189
S361	3	5	0.211	0.114	0.266	0.194	0.216
S362	1	1	0.209	0.204	0.207	0.14	0.24
S363	15	5	0.158	0.269	0.18	0.189	0.204
S364	6	8	0.214	0.186	0.173	0.282	0.145
S365	2	7	0.314	0.118	0.258	0.164	0.146
S366	12	4	0.222	0.1	0.277	0.178	0.223
S367	7	8	0.21	0.17	0.252	0.211	0.157
S368	11	3	0.273	0.214	0.166	0.19	0.157
S369	7	8	0.209	0.128	0.215	0.244	0.204
S370	10	3	0.221	0.139	0.211	0.254	0.174
S371	10	6	0.319	0.111	0.176	0.198	0.196
S372	3	4	0.289	0.201	0.169	0.191	0.15
S373	7	5	0.199	0.272	0.186	0.215	0.128
S374	14	8	0.244	0.268	0.155	0.176	0.157
S375	9	7	0.161	0.214	0.155	0.348	0.122
S376	3	8	0.159	0.13	0.164	0.2	0.346
S377	4	4	0.229	0.241	0.204	0.145	0.18
S378	3	8	0.266	0.144	0.301	0.168	0.121
S379	14	2	0.135	0.321	0.2	0.139	0.204
S380	2	1	0.185	0.178	0.247	0.242	0.148
S381	8	4	0.161	0.193	0.222	0.193	0.231
S382	10	3	0.234	0.154	0.218	0.185	0.209
S383	15	1	0.186	0.174	0.171	0.165	0.303
S384	10	1	0.15	0.26	0.196	0.201	0.193
S385	14	4	0.156	0.256	0.198	0.252	0.138
S386	13	1	0.138	0.251	0.11	0.353	0.149
S387	2	2	0.247	0.172	0.164	0.124	0.293
S388	1	3	0.28	0.22	0.145	0.161	0.194
S389	1	3	0.162	0.242	0.244	0.122	0.231
S390	15	1	0.203	0.127	0.22	0.187	0.263
S391	13	5	0.168	0.233	0.175	0.191	0.233
S392	2	2	0.262	0.22	0.15	0.176	0.192
S393	8	5	0.269	0.135	0.228	0.167	0.201
S394	5	4	0.121	0.283	0.213	0.177	0.206
S395	14	2	0.194	0.32	0.155	0.169	0.162
S396	15	4	0.182	0.172	0.212	0.265	0.169
S397	2	5	0.175	0.181	0.248	0.204	0.192
S398	15	4	0.284	0.286	0.151	0.121	0.158
S399	8	3	0.265	0.158	0.195	0.226	0.156
S400	1	7	0.193	0.176	0.158	0.162	0.31
S401	11	3	0.189	0.216	0.221	0.158	0.216
S402	13	1	0.195	0.14	0.214	0.273	0.178
S403	8	7	0.236	0.182	0.258	0.13	0.195
S404	8	3	0.193	0.129	0.156	0.343	0.178
S405	10	7	0.232	0.246	0.192	0.129	0.201
S406	5	4	0.291	0.124	0.242	0.19	0.154
S407	9	4	0.179	0.271	0.148	0.114	0.288
S408	9	5	0.161	0.255	0.214	0.183	0.187
S409	4	5	0.205	0.24	0.158	0.149	0.247
S410	2	6	0.228	0.201	0.173	0.184	0.215
S411	11	8	0.218	0.197	0.179	0.245	0.16
S412	7	8	0.23	0.125	0.248	0.156	0.241
S413	10	4	0.337	0.174	0.135	0.134	0.22
S414	9	1	0.179	0.165	0.217	0.266	0.173
S415	9	4	0.251	0.147	0.239	0.2	0.163
S416	4	5	0.199	0.208	0.187	0.175	0.23
S417	5	7	0.323	0.129	0.145	0.238	0.166
S418	13	5	0.223	0.234	0.132	0.261	0.15
S419	10	7	0.259	0.191	0.16	0.155	0.233
S420	7	5	0.17	0.123	0.292	0.226	0.188
S421	12	5	0.107	0.363	0.181	0.166	0.182
S422	4	5	0.264	0.157	0.201	0.197	0.18
S423	11	7	0.188	0.148	0.273	0.232	0.159
S424	3	6	0.189	0.161	0.242	0.242	0.167
S425	15	8	0.146	0.197	0.161	0.293	0.203
S426	7	2	0.239	0.182	0.182	0.243	0.155
S427	7	3	0.168	0.256	0.153	0.183	0.24
S428	3	1	0.171	0.182	0.183	0.21	0.254
S429	3	2	0.203	0.196	0.309	0.159	0.133
S430	5	7	0.156	0.196	0.214	0.171	0.264
S431	3	4	0.266	0.239	0.183	0.156	0.155
S432	1	3	0.222	0.181	0.199	0.107	0.291
S433	10	6	0.395	0.143	0.18	0.147	0.134
S434	7	5	0.178	0.224	0.205	0.199	0.194
S435	5	1	0.25	0.184	0.161	0.243	0.162
S436	7	8	0.192	0.229	0.283	0.183	0.114
S437	12	1	0.197	0.237	0.199	0.141	0.226
S438	12	7	0.253	0.163	0.229	0.123	0.232
S439	12	1	0.158	0.201	0.256	0.164	0.221
S440	13	7	0.285	0.245	0.133	0.123	0.215
S441	12	7	0.221	0.152	0.145	0.296	0.186
S442	10	5	0.271	0.204	0.232	0.13	0.163
S443	14	1	0.204	0.207	0.167	0.262	0.16
S444	3	1	0.198	0.18	0.207	0.195	0.219
S445	14	8	0.182	0.257	0.187	0.202	0.171
S446	7	1	0.222	0.139	0.246	0.227	0.166
S447	8	6	0.262	0.147	0.226	0.229	0.136
S448	10	1	0.246	0.245	0.165	0.185	0.159
S449	1	7	0.138	0.141	0.175	0.331	0.215
S450	11	5	0.158	0.224	0.173	0.178	0.267
S451	3	3	0.245	0.202	0.156	0.108	0.29
S452	11	5	0.137	0.162	0.31	0.24	0.151
S453	12	6	0.15	0.289	0.172	0.155	0.234
S454	10	7	0.173	0.229	0.142	0.18	0.276
S455	2	7	0.185	0.185	0.292	0.181	0.158
S456	10	7	0.183	0.155	0.224	0.291	0.147
S457	14	5	0.183	0.223	0.2	0.198	0.195
S458	9	2	0.283	0.172	0.193	0.155	0.197
S459	3	5	0.211	0.098	0.25	0.196	0.244
S460	14	1	0.223	0.137	0.195	0.294	0.151
S461	5	2	0.194	0.167	0.271	0.168	0.199
S462	9	3	0.223	0.152	0.229	0.205	0.191
S463	2	7	0.29	0.198	0.206	0.152	0.153
S464	8	4	0.272	0.159	0.166	0.215	0.187
S465	7	2	0.18	0.246	0.19	0.161	0.223
S466	5	7	0.136	0.226	0.154	0.276	0.208
S467	4	2	0.145	0.372	0.165	0.182	0.137
S468	5	7	0.229	0.178	0.201	0.178	0.213
S469	13	8	0.192	0.18	0.206	0.151	0.271
S470	3	1	0.111	0.335	0.157	0.18	0.217
S471	3	1	0.154	0.241	0.221	0.213	0.172
S472	12	2	0.256	0.15	0.2	0.204	0.19
S473	6	5	0.193	0.246	0.279	0.132	0.15
S474	11	1	0.317	0.172	0.157	0.179	0.174
S475	3	6	0.239	0.195	0.212	0.204	0.15
S476	15	8	0.19	0.192	0.197	0.202	0.219
S477	13	5	0.269	0.138	0.231	0.185	0.178
S478	4	5	0.181	0.243	0.202	0.216	0.157
S479	1	5	0.19	0.163	0.187	0.234	0.226
S480	7	1	0.194	0.228	0.189	0.18	0.21
S481	15	3	0.227	0.271	0.149	0.229	0.124
S482	14	8	0.176	0.276	0.191	0.148	0.21
S483	2	4	0.291	0.174	0.119	0.249	0.167
S484	3	2	0.204	0.17	0.214	0.147	0.264
S485	4	3	0.155	0.159	0.221	0.305	0.16
S486	14	8	0.244	0.149	0.202	0.196	0.209
S487	3	6	0.141	0.21	0.224	0.18	0.245
S488	14	5	0.215	0.175	0.208	0.199	0.202
S489	6	5	0.209	0.257	0.216	0.148	0.17
S490	15	5	0.23	0.217	0.202	0.152	0.198
S491	7	2	0.225	0.231	0.177	0.178	0.189
S492	6	7	0.11	0.223	0.205	0.198	0.264
S493	5	6	0.155	0.47	0.128	0.129	0.119
S494	6	7	0.204	0.179	0.145	0.196	0.276
S495	8	2	0.141	0.214	0.211	0.129	0.304
S496	10	6	0.186	0.193	0.172	0.271	0.179
S497	8	4	0.182	0.152	0.209	0.133	0.324
S498	14	2	0.231	0.25	0.14	0.23	0.148
S499	6	4	0.208	0.158	0.258	0.173	0.202
S500	1	4	0.169	0.226	0.17	0.175	0.259
